code,title,unit_code
216505,Hydrographic surveyor,2165
216506,Land surveyor,2165
216507,Mine surveyor,2165
216508,Photogrammetrist,2165
216601,2D animators,2166
216602,2D designers,2166
216603,3D animators,2166
216604,3D designers,2166
216605,Animator,2166
216606,Caricature artists,2166
216607,Computer games designer,2166
216608,Digital artist,2166
216609,Illustrator,2166
216610,Infographic designers,2166
216611,Multimedia designer,2166
216612,Publication designer,2166
216613,Website designer,2166
221101,District medical doctor - therapist,2211
221102,Family medical practitioner,2211
221103,Medical doctor,2211
221104,Medical officer,2211
221105,Medical practitioner,2211
221106,Physician,2211
221107,Primary health care physician,2211
221108,Resident medical officer specializing in general practice,2211
221201,Allergologist,2212
221202,Anesthesiologist,2212
221203,Anesthetist,2212
221204,Cardiologist,2212
221205,Dermatologist,2212
221206,"Ear, Nose, and Throat (ENT) physician",2212
221207,Emergency medicine specialist,2212
221208,Emergency physician,2212
221209,Forensic pathologist,2212
221210,Gynecologist,2212
221211,Infectious diseases specialist,2212
221212,Internal medicine physician,2212
221213,Medical pathologist,2212
221214,Medical specialist practitioner,2212
221215,Nephrologist,2212
221216,Neurologist,2212
221217,Neurosurgeon,2212
221218,Obstetrician,2212
221219,Oncologist,2212
221220,Ophthalmologist,2212
221221,Pathologist,2212
221222,Pediatrician,2212
221223,Preventive medicine specialist,2212
221224,Psychiatrist,2212
221225,Radiologist,2212
221226,Resident medical officer in specialist training,2212
221227,Rheumatologist,2212
221228,Surgeon,2212
221229,Urologist,2212
222101,Anesthetic nurse,2221
222102,Audiometry nurse,2221
222103,Cardiovascular nurse,2221
222104,Chemotherapy nurse,2221
222105,Clinical consultant nurse,2221
222106,Clinical nurse,2221
222107,Company nurse,2221
222108,Coronary nurse,2221
222109,Cosmetic nurse,2221
222110,Dental nurse,2221
222111,Dermatological nurse,2221
222112,Dialysis nurse,2221
222113,District nurse,2221
222114,Emergency nurse,2221
222115,Endocrinology nurse,2221
222116,ENT nurse,2221
222117,Fertility nurse,2221
222118,Geriatric nurse,2221
222119,Hematology nurse,2221
222120,Hemodialysis nurse,2221
222121,Home health care nurse,2221
222122,Independent nurse practitioner,2221
222123,Industrial nurse,2221
222124,Intensive care unit nurse,2221
222125,Labor and delivery nurse,2221
222126,Medical ward nurse,2221
222127,Medico-legal nurse,2221
222128,Neonatal nurse,2221
222129,Neurology/neurosurgeon nurse,2221
222130,Nurse educator,2221
222131,Nurse practitioner,2221
222132,Obstetrics and gynecology (OB-GYN) nurse,2221
222133,Occupational health nurse,2221
222134,Oncology nurse,2221
222135,Ophthalmology nurse,2221
222136,Orthopedic nurse,2221
222137,Pain clinic and oncology nurse,2221
222138,Paramedic nurse,2221
222139,Pediatric nurse,2221
222140,Psychiatric nurse,2221
222141,Public health nurse,2221
222142,Pulmonary/respiratory nurse,2221
222143,Radiation therapy nurse,2221
222144,Radiotherapeutic nurse,2221
222145,School nurse,2221
222146,Surgical nurse,2221
