unit_code,related_unit_code,related_occupation_title
7513,8160,Milk processing machine operator
7516,8160,Cigar production machine operator
7516,8160,Cigarette production machine operator
7522,7115,Carpenters
7522,7115,Joiner
7522,8219,Wood and related products assemblers
7531,8153,Sewing machine operator
7531,7318,Textile handicraft worker
7533,7531,Dressmaker
7533,8153,Sewing machine operator
7533,7318,Textiles handicraft worker
7536,7531,Furrier
7536,7531,Hatter
7536,8156,Shoe production machine operator
7541,6229,Commercial diver
7541,6340,Subsistence diver
7542,8111,Mining driller
7542,9311,Mining laborer
7542,3121,Mining Supervisor
7542,8113,Oil and gas well driller
7542,9311,Quarry laborer
7543,7515,Food grader
7543,7515,Fruit grader
7543,7531,Fur grader
7543,7535,Pelt grader
7543,3257,Product safety inspector
7543,7515,Vegetable grader
8111,7542,Blaster
8111,9311,Mining laborer
8111,3121,Mining supervisor
8111,8113,Oil and gas well driller
8111,9311,Quarry laborer
8111,7542,Shotfirer
8112,8114,Cast stone production machine operator
8112,7113,Stone cutter using hand or hand-powered tools
8112,7113,Stone polisher using hand or hand-powered tools
8112,8114,Stone polishing machine operator
8112,7113,Stone splitter using hand or hand-powered tools
8112,7113,Stonemason
8113,7542,Blaster
8113,8111,Miner
8113,8111,Quarrier
8114,8181,"Brick, pottery or tiles kiln operator"
8114,8181,Extruding clay press operator
8114,7113,Stone polisher using hand or hand-powered tools
8114,8112,Stone processing machine operator
8121,3135,Blast furnace operator
8121,3135,Central control caster
8121,8122,Metal coating machine operator
8121,3135,Rolling mill control operator
8122,3135,Metal processing control operator
8122,3135,Metal production process controller
8122,7132,Vehicle painter
8131,3133,Chemical processing plant controllers
8131,3134,Petroleum and natural gas refining plant operators
8132,3431,Photographer
8132,7321,Photolithographer
8152,7318,Carpet weaver
8152,7318,Cloth weaver
8152,7318,Knitter
8153,7533,Embroiderer
8153,7531,Furrier
8153,7533,Sewer
8153,7531,Tailor
8153,7318,Textiles handicraft worker
8154,9121,Hand launderer
8154,9121,Hand presser
8154,8157,Laundry machine operator
8154,7322,Textile printer
8155,7535,Pelt dresser
8155,7535,Tanner
8156,7536,Cobbler
8156,7318,Leather handicraft worker
8157,9121,Hand launderer
8157,9121,Hand presser
8172,7521,Timber treating tank operator
8172,7521,Veneer dryer tender
8172,7521,Wood treater
8172,7523,Woodworking machine operator
8181,7314,Brick and tile molder
8181,7315,Glass blower
8181,7315,Glass cutter
8182,3151,Ships' engineer
8182,7233,Stationary engine fitter
8211,8219,Bicycle assembler
8211,8212,Electromechanical equipment assembler
8211,7231,Motor vehicle mechanic
8212,7421,Electronics mechanic and servicer
8212,7311,Precision-instrument maker
8322,9332,Animal-drawn vehicle driver
8322,8331,Bus driver
8322,8332,Heavy truck driver
8322,8321,Motorized rickshaw driver
8322,9331,Pedal vehicle driver
8322,9331,Rickshaw puller
8323,8321,Motorcycle rider (conventional)
8323,8321,Tricycle driver (conventional)
8324,8322,Company driver
8324,8322,Taxi driver (conventional)
8325,8322,Taxi driver (conventional)
8325,8324,TNVS car drivers
8326,8322,Jeepney driver
8326,8322,Van driver (conventional)
8341,8342,Bulldozer operator
9111,5152,Domestic housekeeper
9111,9121,Hand launderer
9111,9112,Hotel cleaner
9111,9613,Street sweeper
9112,5153,Building caretaker
9112,9412,Dishwasher
9112,9111,Domestic cleaner
9112,5152,Domestic housekeeper
9112,9412,Kitchen helper
9112,9613,Street sweeper
9121,8157,Dry-cleaning machine operator
9121,8157,Laundry machine operator
9121,8157,Laundry pressing machine operator
9211,9313,Building work construction laborer
9211,6111,Rice farmers
9211,6112,Corn farmers
9211,9624,Firewood collector
9211,9624,Water collector
9212,6121,Drover
9212,9624,Firewood collector
9212,6121,Livestock farmer
9212,6121,Shepherd –
9212,9624,Water collector
9213,9624,Firewood collector
9213,6130,Skilled farm worker (mixed crop and livestock)
9213,9624,Water collector
9214,9211,Crop farm laborer
9214,6118,Horticulturist
9214,6118,Landscape gardener
9214,6118,Market gardener
9215,6213,Charcoal makers and related workers
9215,6212,Concessionaires and loggers
9215,6211,Forest tree planters
9215,6214,Minor forest product gatherers
9216,6226,Coastal waters fisher
9216,6227,Deep-sea fisher
9216,6226,Inland waters fisher
9216,6221,Milkfish and tilapia producers
9311,8113,Drilling plant operator
9311,8111,Miner
9311,8111,Mining driller
9311,8111,Mining plant operator
9311,8113,Oil and gas well driller
9311,8111,Quarrier
9313,7112,Bricklayer
9313,7119,Building wrecker
