code,name,province_code,type,is_independent
160303,Esperanza,1603,municipality,False
160304,La Paz,1603,municipality,False
160305,Loreto,1603,municipality,False
160306,Prosperidad,1603,municipality,False
160307,Rosario,1603,municipality,False
160308,San Francisco,1603,municipality,False
160309,San Luis,1603,municipality,False
160310,Santa Josefa,1603,municipality,False
160311,Talacogon,1603,municipality,False
160312,Trento,1603,municipality,False
160313,Veruela,1603,municipality,False
160314,Sibagat,1603,municipality,False
166701,Alegria,1667,municipality,False
166702,Bacuag,1667,municipality,False
166704,Burgos,1667,municipality,False
166706,Claver,1667,municipality,False
166707,Dapa,1667,municipality,False
166708,Del Carmen,1667,municipality,False
166710,General Luna,1667,municipality,False
166711,Gigaquit,1667,municipality,False
166714,Mainit,1667,municipality,False
166715,Malimono,1667,municipality,False
166716,Pilar,1667,municipality,False
166717,Placer,1667,municipality,False
166718,San Benito,1667,municipality,False
166719,San Francisco,1667,municipality,False
166720,San Isidro,1667,municipality,False
166721,Santa Monica,1667,municipality,False
166722,Sison,1667,municipality,False
166723,Socorro,1667,municipality,False
166724,City of Surigao,1667,component city,False
166725,Tagana-An,1667,municipality,False
166727,Tubod,1667,municipality,False
166801,Barobo,1668,municipality,False
166802,Bayabas,1668,municipality,False
166803,City of Bislig,1668,component city,False
166804,Cagwait,1668,municipality,False
166805,Cantilan,1668,municipality,False
166806,Carmen,1668,municipality,False
166807,Carrascal,1668,municipality,False
166808,Cortes,1668,municipality,False
166809,Hinatuan,1668,municipality,False
166810,Lanuza,1668,municipality,False
166811,Lianga,1668,municipality,False
166812,Lingig,1668,municipality,False
166813,Madrid,1668,municipality,False
166814,Marihatag,1668,municipality,False
166815,San Agustin,1668,municipality,False
166816,San Miguel,1668,municipality,False
166817,Tagbina,1668,municipality,False
166818,Tago,1668,municipality,False
166819,City of Tandag,1668,component city,False
168501,Basilisa,1685,municipality,False
168502,Cagdianao,1685,municipality,False
168503,Dinagat,1685,municipality,False
168504,Libjo,1685,municipality,False
168505,Loreto,1685,municipality,False
168506,San Jose,1685,municipality,False
168507,Tubajon,1685,municipality,False
174001,Boac,1740,municipality,False
174002,Buenavista,1740,municipality,False
174003,Gasan,1740,municipality,False
174004,Mogpog,1740,municipality,False
174005,Santa Cruz,1740,municipality,False
174006,Torrijos,1740,municipality,False
175101,Abra De Ilog,1751,municipality,False
175102,Calintaan,1751,municipality,False
175103,Looc,1751,municipality,False
175104,Lubang,1751,municipality,False
175105,Magsaysay,1751,municipality,False
175106,Mamburao,1751,municipality,False
175107,Paluan,1751,municipality,False
175108,Rizal,1751,municipality,False
175109,Sablayan,1751,municipality,False
175110,San Jose,1751,municipality,False
175111,Santa Cruz,1751,municipality,False
175201,Baco,1752,municipality,False
175202,Bansud,1752,municipality,False
175203,Bongabong,1752,municipality,False
175204,Bulalacao,1752,municipality,False
175205,City of Calapan,1752,component city,False
175206,Gloria,1752,municipality,False
175207,Mansalay,1752,municipality,False
175208,Naujan,1752,municipality,False
175209,Pinamalayan,1752,municipality,False
175210,Pola,1752,municipality,False
175211,Puerto Galera,1752,municipality,False
175212,Roxas,1752,municipality,False
175213,San Teodoro,1752,municipality,False
175214,Socorro,1752,municipality,False
175215,Victoria,1752,municipality,False
175301,Aborlan,1753,municipality,False
175302,Agutaya,1753,municipality,False
175303,Araceli,1753,municipality,False
175304,Balabac,1753,municipality,False
175305,Bataraza,1753,municipality,False
175306,Brooke's Point,1753,municipality,False
175307,Busuanga,1753,municipality,False
175308,Cagayancillo,1753,municipality,False
175309,Coron,1753,municipality,False
175310,Cuyo,1753,municipality,False
175311,Dumaran,1753,municipality,False
175312,El Nido,1753,municipality,False
175313,Linapacan,1753,municipality,False
175314,Magsaysay,1753,municipality,False
175315,Narra,1753,municipality,False
175316,City of Puerto Princesa,1753,highly urbanized city,True
175317,Quezon,1753,municipality,False
175318,Roxas,1753,municipality,False
175319,San Vicente,1753,municipality,False
175320,Taytay,1753,municipality,False
175321,Kalayaan,1753,municipality,False
175322,Culion,1753,municipality,False
175323,Dr. Jose P. Rizal,1753,municipality,False
175324,Sofronio Española,1753,municipality,False
175901,Alcantara,1759,municipality,False
175902,Banton,1759,municipality,False
175903,Cajidiocan,1759,municipality,False
175904,Calatrava,1759,municipality,False
175905,Concepcion,1759,municipality,False
175906,Corcuera,1759,municipality,False
175907,Looc,1759,municipality,False
175908,Magdiwang,1759,municipality,False
175909,Odiongan,1759,municipality,False
175910,Romblon,1759,municipality,False
175911,San Agustin,1759,municipality,False
175912,San Andres,1759,municipality,False
175913,San Fernando,1759,municipality,False
175914,San Jose,1759,municipality,False
175915,Santa Fe,1759,municipality,False
175916,Ferrol,1759,municipality,False
175917,Santa Maria,1759,municipality,False
1999901,Kapalawan,1536,municipality,False
1999902,Old Kaabakan,1536,municipality,False
1999903,Kadayangan,1536,municipality,False
1999904,Nabalawag,1536,municipality,False
1999905,Pahamuddin,1536,municipality,False
1999906,Malidegao,1536,municipality,False
1999907,Ligawasan,1536,municipality,False
1999908,Tugunan,1536,municipality,False
